Procede Data Log
OpenFlash Data File 1
14
Time[s],Engine Speed,Throttle,MAF Voltage,Engine Load,Knock Corr.,Ignition adv,KC Learned,AFR,ST Fuel Trim,LT Fuel Trim,Adv Multiplier,FLKC,Oil Temp.,Command AFR
11.53,5261.5,91.8,3.59,1.15,0,30,5.97,11.71,0,1.56,1,0,206.6,12.24
11.63,5329,91.65,3.6,1.12,0,30,5.97,11.71,0,2.34,1,0,206.6,12.24
11.73,5347,91.45,3.58,1.17,0,30,5.97,11.71,0,2.34,1,0,206.6,12.24
11.83,5461.25,91.31,3.63,1.17,0,30,5.97,11.71,0,2.34,1,0,206.6,12.24
11.93,5508.5,91.2,3.65,1.17,0,30,5.97,11.83,0,2.34,1,0,206.6,12.24
12.03,5487.5,91.16,3.64,1.16,0,30,5.97,11.71,0,2.34,1,0,206.6,12.24
12.13,5581.75,90.98,3.7,1.18,0,30,5.97,11.83,0,2.34,1,0,206.6,12.24
12.23,5586,90.93,3.7,1.16,0,29.5,5.94,11.83,0,2.34,1,0,206.6,12.24
12.33,5629.75,90.88,3.68,1.17,0,29.5,5.88,11.94,0,2.34,1,0,206.6,12.24
12.43,5703.25,90.87,3.68,1.18,0,29.5,5.91,11.71,0,2.34,1,0,206.6,12.24
12.54,5747.5,90.7,3.7,1.16,0,29.5,5.84,11.83,0,2.34,1,0,206.6,12.24
12.64,5818,90.74,3.76,1.22,0,29.5,5.78,11.94,0,2.34,1,0,206.6,12.24
12.74,5856,90.6,3.76,1.19,0,29.5,5.75,11.83,0,2.34,1,0,206.6,12.24
12.84,5905.25,90.62,3.77,1.18,0,29.5,5.69,11.83,0,2.34,1,0,206.6,12.24
12.94,5931.5,90.55,3.79,1.16,0,29,5.66,11.6,0,2.34,1,0,206.6,12.24
13.04,6010.5,90.48,3.81,1.23,0,29,5.56,11.83,0,2.34,1,0,206.6,12.24
13.14,6046,90.46,3.8,1.18,0,29,5.56,11.71,0,2.34,1,0,206.6,12.24
13.24,6078.75,90.46,3.82,1.16,0,29,5.47,11.71,0,2.34,1,0,206.6,12.24
13.34,6116.5,90.36,3.81,1.18,0,29,5.38,11.71,0,2.34,1,0,206.6,12.24
13.45,6171,90.39,3.81,1.18,0,29,5.25,11.71,0,2.34,1,0,206.6,12.24
13.56,6261,90.3,3.85,1.25,0,29,5.16,11.6,0,2.34,1,0,206.6,12.24
13.66,6288,90.23,3.87,1.23,0,29,5.09,11.6,0,2.34,1,0,206.6,12.24
13.76,6322.5,90.24,3.86,1.19,0,29,5,11.71,0,2.34,1,0,206.6,12.24
13.86,6371.5,90.23,3.88,1.21,0,28.5,4.94,11.71,0,2.34,1,0,206.6,12.24
13.97,6452.75,90.26,3.89,1.26,0,28,4.25,11.48,0,2.34,1,-0.65,206.6,12.24
14.08,6488,90.07,3.92,1.23,0,28,4.19,11.71,0,2.34,1,-0.65,206.6,12.24
14.18,6514,90.14,3.9,1.23,0,28,4.12,11.48,0,2.34,1,-0.65,206.6,12.24
14.28,6581,90.14,3.97,1.26,0,28,4.09,11.71,0,2.34,1,-0.65,206.6,12.24
14.38,6597.5,90.05,3.97,1.25,0,27.5,4.09,11.6,0,2.34,1,-0.65,206.6,12.24
14.48,6685.5,90.12,3.98,1.25,0,28,3.38,11.48,0,2.34,1,-1.3,206.6,12.24
14.58,6713.75,89.95,3.99,1.23,0,27,3.34,11.6,0,2.34,1,-1.3,206.6,12.24
14.68,6747,90.05,3.96,1.3,0,27,3.31,11.48,0,2.34,1,-1.3,206.6,12.24
14.78,6788,89.9,3.96,1.31,0,28.5,4.56,11.48,0,2.34,1,-1.95,206.6,12.35
14.89,6828,89.93,3.99,1.28,0,27.5,3.91,11.37,0,2.34,1,-0.65,206.6,12.35
15.00,6872.5,90,4,1.29,0,27,3.91,11.37,0,2.34,1,-0.65,206.6,12.35
15.10,6944.5,89.93,4.03,1.28,0,26,3.28,11.37,0,2.34,1,-1.3,208.4,12.35
15.20,6978,89.89,3.99,1.27,0,25.5,3.28,11.48,0,2.34,1,-1.3,208.4,12.35
15.30,7009.25,89.96,4.04,1.27,0,25.5,3.28,11.37,0,2.34,1,-1.3,208.4,12.35
15.41,7058,89.96,4.04,1.23,0,25.5,3.28,11.48,0,2.34,1,-1.3,208.4,12.35
15.51,7111,90,4.06,1.27,0,25.5,3.28,11.48,0,2.34,1,-1.3,208.4,12.35
15.62,7107,89.89,4.05,1.28,0,25.5,2.62,11.48,0,2.34,1,-1.95,208.4,12.35
15.72,7172.75,89.96,4.06,1.21,0,25,2.56,11.37,0,2.34,1,-1.95,208.4,12.35
15.82,7220.75,89.93,4.08,1.28,0,25,2.47,11.25,0,2.34,1,-1.95,208.4,12.35
15.93,7238.5,81.83,4.07,1.23,0,25,2.38,11.25,0,2.34,1,-1.95,208.4,12.35
16.04,7157,0.5,2.81,1.06,0,27,1.09,11.25,0,2.34,1,0,208.4,12.24
16.15,6926,0,2.15,0.18,0,36,0,11.25,0,2.34,1,0,208.4,14.24
16.25,6819.75,0,1.99,0.12,0,39,0,13.21,0,2.34,1,0,208.4,14.24
16.35,6551.75,0,1.95,0.12,0,21.5,0,15.62,0,2.34,1,0,208.4,14.24
16.46,6390.75,0,1.92,0.12,0,17,0,20.33,0,1.56,1,0,208.4,14.24
16.56,6140,1.11,1.96,0.12,0,34,0,20.33,0,1.56,1,0,208.4,14.24
16.67,5708,15.46,3.13,0.62,0,8.5,0,16.54,0,0,1,0,208.4,15.06
16.78,5644.25,24.02,3.45,0.93,0,33,2.97,14.47,-0.78,0,1,0,208.4,15.18
16.88,5746,34.85,3.45,0.93,0,20.5,4.62,13.21,0,0,1,0,208.4,12.71
16.98,5750.25,33.39,3.56,1.06,0,30.5,5.44,12.4,0,0.78,1,0,208.4,12.24
17.09,5761.5,28.15,3.47,1.04,0,30.5,5.47,11.83,0,0.78,1,0,208.4,12.24
17.19,5757,10.51,2.88,0.67,0,30,4.81,11.71,0,0.78,1,0,208.4,12.71
17.29,5716.25,1.43,2.26,0.22,0,36.5,0,11.94,0,0,1,0,210.2,13.88
17.39,5655.25,0.76,2.06,0.18,0,36.5,0,13.09,0,0,1,0,210.2,15.06
17.49,5633.75,0.42,1.98,0.14,0,41.5,0,20.33,0,0,1,0,210.2,15.06
17.60,5648.75,0.3,1.92,0.13,0,40,0,20.33,0,0,1,0,210.2,15.06
17.70,5687.75,0,1.86,0.12,0,36.5,0,20.33,0,-0.78,1,0,210.2,15.06
17.80,5640.75,0,1.78,0.1,0,34.5,0,20.33,0,-0.78,1,0,210.2,15.06
17.90,5632.25,0,1.74,0.09,0,34,0,20.33,0,-0.78,1,0,210.2,15.06
18.00,5604,0,1.69,0.08,0,34,0,20.33,0,-0.78,1,0,210.2,15.06
18.10,5591,0,1.66,0.08,0,34,0,20.33,0,-0.78,1,0,210.2,15.06
18.20,5522.25,0,1.63,0.07,0,34,0,20.33,0,-0.78,1,0,210.2,15.06
18.30,5511,0,1.61,0.07,0,34,0,20.33,0,-0.78,1,0,210.2,15.06
18.40,5495,0,1.61,0.07,0,34,0,20.33,0,-0.78,1,0,210.2,15.06
18.50,5434.75,0,1.61,0.07,0,34,0,20.33,0,-0.78,1,0,210.2,15.06
18.60,5393.5,0,1.61,0.07,0,34,0,20.33,0,-0.78,1,0,210.2,15.06
18.70,5417.75,0,1.61,0.07,0,34,0,20.33,0,-0.78,1,0,210.2,15.06
18.80,5316,0,1.6,0.07,0,34,0,20.33,0,-0.78,1,0,210.2,15.06
18.90,5317.75,0,1.6,0.07,0,34,0,20.33,0,-0.78,1,0,210.2,15.06
19.00,5306,0,1.6,0.07,0,34,0,20.33,0,-0.78,1,0,210.2,15.06
19.11,5231.25,0,1.61,0.07,0,34,0,20.33,0,-0.78,1,0,210.2,15.06
19.22,5206.25,0,1.61,0.07,0,34,0,20.33,0,-0.78,1,0,210.2,15.06
19.32,5127,0,1.61,0.07,0,34,0,20.33,0,-0.78,1,0,210.2,15.06
19.42,5138.5,0,1.62,0.07,0,34,0,20.33,0,-0.78,1,0,210.2,15.06
19.52,5143,0,1.62,0.08,0,34,0,20.33,0,-0.78,1,0,212,15.06
19.62,5000.25,0,1.62,0.08,0,34,0,20.33,0,-0.78,1,0,212,15.06
19.72,4994.75,0,1.62,0.08,0,34,0,20.33,0,-0.78,1,0,212,15.06
19.82,5001.25,0,1.62,0.08,0,34,0,20.33,0,-0.78,1,0,212,15.06
19.93,4964.75,0,1.62,0.08,0,34,0,20.33,0,-0.78,1,0,212,15.06
20.03,4969.25,0,1.62,0.08,0,34,0,20.33,0,-0.78,1,0,212,15.06
20.14,4953,0,1.62,0.08,0,34,0,20.33,0,-0.78,1,0,212,15.06
20.24,4881.75,0,1.62,0.08,0,34,0,20.33,0,-0.78,1,0,212,15.06
20.34,4858.5,0,1.61,0.08,0,34,0,20.33,0,-0.78,1,0,212,15.06
20.44,4816.75,0,1.62,0.08,0,34,0,20.33,0,-0.78,1,0,212,15.06
20.54,4750.75,0,1.61,0.08,0,34,0,20.33,0,-0.78,1,0,212,15.06
20.64,4672.25,0,1.6,0.08,0,34,0,20.33,0,-0.78,1,0,212,15.06
20.74,4670.5,0,1.57,0.08,0,34,0,20.33,0,-0.78,1,0,212,15.06
20.85,4597.25,0,1.56,0.07,0,34,0,20.33,0,-0.78,1,0,212,15.06
20.95,4573.25,0,1.55,0.07,0,34,0,20.33,0,-0.78,1,0,212,15.06
21.05,4528,0,1.54,0.07,0,34,0,20.33,0,-0.78,1,0,212,15.06
21.16,4479.25,0,1.53,0.07,0,34,0,20.33,0,-0.78,1,0,212,15.06
21.26,4446.5,0,1.52,0.07,0,34,0,20.33,0,-0.78,1,0,212,15.06
21.36,4398.75,0,1.51,0.07,0,34,0,20.33,0,-0.78,1,0,212,15.06
21.46,4337,0,1.5,0.07,0,34,0,20.33,0,-0.78,1,0,212,15.06
21.56,4296.75,0,1.5,0.07,0,34,0,20.33,0,-0.78,1,0,212,15.06
21.66,4259.25,0,1.49,0.07,0,34,0,20.33,0,-0.78,1,0,212,15.06
21.76,4241,0,1.47,0.06,0,34,0,20.33,0,-0.78,1,0,212,15.06
21.86,4209.75,0,1.47,0.06,0,34,0,20.33,0,-0.78,1,0,212,15.06
21.97,4141.25,0,1.46,0.06,0,34,0,20.33,0,-0.78,1,0,212,15.06
22.07,4121.75,0,1.44,0.06,0,34,0,20.33,0,-0.78,1,0,212,15.06
22.17,4147.75,0,1.44,0.06,0,34,0,20.33,0,-0.78,1,0,212,15.06
22.28,4103.75,0,1.44,0.06,0,34,0,20.33,0,-0.78,1,0,212,15.06
22.38,4098,0,1.43,0.06,0,34,0,20.33,0,-0.78,1,0,212,15.06
22.48,4079,0,1.43,0.06,0,34,0,20.33,0,-0.78,1,0,212,15.06
22.58,4051.25,0,1.43,0.06,0,34,0,20.33,0,-0.78,1,0,212,15.06
22.68,4045.75,0,1.42,0.06,0,34,0,20.33,0,-0.78,1,0,212,15.06
22.78,4028.25,0,1.42,0.06,0,34,0,20.33,0,-0.78,1,0,212,15.06
22.88,4010,0,1.41,0.06,0,34,0,20.33,0,-0.78,1,0,212,15.06
22.98,4010.25,0,1.4,0.06,0,34,0,20.33,0,-0.78,1,0,212,15.06
23.08,3968.5,0,1.4,0.06,0,34,0,20.33,0,-0.78,1,0,212,15.06
23.18,3965.5,0,1.4,0.06,0,34,0,20.33,0,-0.78,1,0,212,15.06
23.28,3971.5,0,1.4,0.06,0,34,0,20.33,0,-0.78,1,0,212,15.06
23.39,3936.25,0,1.39,0.06,0,34,0,20.33,0,-0.78,1,0,212,15.06
23.50,3915.75,0,1.4,0.06,0,34,0,20.33,0,-0.78,1,0,212,15.06
23.60,3907,0,1.4,0.06,0,34,0,20.33,0,-0.78,1,0,212,15.06
23.70,3887,0,1.39,0.06,0,34,0,20.33,0,-0.78,1,0,212,15.06
